iter	Passed	Remaining
146	634	3680
147	638	3675
148	642	3669
149	646	3666
150	651	3662
151	655	3655
152	659	3650
153	663	3646
154	667	3640
155	671	3634
156	675	3628
157	679	3623
158	684	3618
159	688	3613
160	692	3607
161	696	3603
162	700	3598
163	705	3595
164	709	3590
165	713	3585
166	717	3579
167	721	3574
168	726	3570
169	730	3565
170	734	3559
171	738	3555
172	742	3550
173	747	3548
174	751	3543
175	755	3537
176	759	3532
177	763	3527
178	768	3523
179	772	3518
180	776	3514
181	780	3508
182	784	3503
183	789	3500
184	793	3496
185	797	3491
186	802	3487
187	806	3483
188	810	3478
189	815	3475
190	819	3470
191	823	3466
192	827	3462
193	832	3457
194	836	3454
195	841	3451
196	846	3448
197	850	3443
198	854	3441
199	859	3436
200	863	3432
201	868	3429
202	872	3425
203	877	3422
204	882	3420
205	886	3417
206	891	3414
207	896	3412
208	900	3409
209	905	3405
210	909	3401
211	914	3398
212	918	3393
213	922	3389
214	927	3385
215	931	3382
216	936	3379
217	940	3375
218	945	3371
219	949	3367
220	954	3364
221	958	3360
222	963	3356
223	967	3351
224	971	3347
225	976	3344
226	980	3340
227	986	3340
228	992	3340
229	996	3337
230	1001	3333
231	1006	3330
232	1011	3328
233	1016	3327
234	1021	3324
235	1025	3320
236	1030	3316
237	1034	3313
238	1038	3307
239	1043	3303
240	1047	3299
241	1052	3296
242	1056	3291
243	1061	3288
244	1065	3284
245	1070	3279
246	1074	3275
247	1078	3271
248	1083	3267
249	1087	3263
250	1092	3259
251	1096	3254
252	1100	3250
253	1105	3246
254	1109	3242
255	1114	3239
256	1119	3235
257	1123	3231
258	1127	3227
259	1132	3222
260	1136	3217
261	1141	3214
262	1145	3209
263	1149	3205
264	1154	3201
265	1159	3198
266	1164	3195
267	1168	3191
268	1172	3187
269	1177	3182
270	1181	3177
271	1185	3173
272	1190	3169
273	1194	3165
274	1199	3161
275	1203	3157
276	1209	3155
277	1214	3153
278	1218	3149
279	1223	3145
280	1227	3140
281	1231	3136
282	1236	3131
283	1240	3127
284	1244	3122
285	1248	3117
286	1252	3112
287	1257	3109
288	1263	3108
289	1268	3105
290	1272	3101
291	1277	3096
292	1281	3091
293	1285	3087
294	1289	3082
295	1294	3077
296	1298	3072
297	1302	3067
298	1306	3063
299	1311	3059
300	1316	3056
301	1320	3052
302	1325	3048
303	1329	3043
304	1333	3038
305	1337	3034
306	1342	3029
307	1346	3024
308	1350	3020
309	1354	3015
310	1358	3010
311	1362	3005
312	1366	3000
313	1370	2994
314	1375	2990
315	1379	2985
316	1383	2980
317	1387	2976
318	1391	2971
319	1396	2968
320	1401	2964
321	1405	2959
322	1409	2955
323	1414	2950
324	1418	2946
325	1422	2941
326	1426	2936
327	1431	2932
328	1435	2927
329	1439	2923
330	1443	2917
331	1447	2913
332	1452	2908
333	1456	2904
334	1460	2899
335	1465	2895
336	1469	2890
337	1473	2885
338	1477	2880
339	1481	2875
340	1485	2871
341	1489	2866
342	1494	2861
343	1498	2857
344	1502	2852
345	1506	2847
346	1510	2842
347	1514	2837
348	1518	2833
349	1522	2828
350	1527	2823
351	1531	2818
352	1535	2814
353	1539	2810
354	1544	2805
355	1548	2800
356	1552	2795
357	1556	2790
358	1560	2786
359	1564	2781
360	1569	2777
361	1573	2773
362	1578	2769
363	1582	2764
364	1586	2760
365	1591	2757
366	1596	2753
367	1601	2749
368	1605	2746
369	1610	2742
370	1615	2738
371	1620	2736
372	1625	2732
373	1630	2728
374	1634	2724
375	1639	2720
376	1643	2716
377	1648	2712
378	1652	2707
379	1657	2704
380	1661	2699
381	1666	2695
382	1670	2691
383	1674	2686
384	1679	2682
385	1683	2677
386	1687	2673
387	1691	2668
388	1696	2664
389	1700	2660
390	1706	2658
391	1711	2654
392	1716	2650
393	1720	2646
394	1724	2641
395	1729	2637
396	1733	2633
397	1737	2628
398	1741	2623
399	1746	2619
400	1750	2614
401	1755	2610
402	1759	2606
403	1763	2602
404	1767	2597
405	1772	2593
406	1776	2588
407	1781	2584
408	1785	2579
409	1789	2575
410	1794	2571
411	1798	2567
412	1802	2562
413	1808	2559
414	1812	2555
415	1817	2551
416	1822	2547
417	1826	2543
418	1830	2538
419	1836	2535
420	1840	2531
421	1845	2527
422	1849	2523
423	1854	2519
424	1858	2514
425	1863	2510
426	1867	2506
427	1871	2501
428	1876	2497
429	1880	2492
430	1884	2488
431	1888	2483
432	1893	2478
433	1897	2474
434	1901	2470
435	1905	2465
436	1910	2461
437	1914	2456
438	1919	2452
439	1923	2448
440	1927	2443
441	1932	2439
442	1936	2435
443	1941	2430
444	1945	2425
445	1949	2421
446	1953	2416
447	1957	2411
448	1961	2407
449	1966	2402
450	1969	2398
451	1974	2393
452	1978	2388
453	1982	2384
454	1986	2379
455	1991	2376
456	1996	2371
457	2000	2367
458	2005	2363
459	2010	2360
460	2015	2355
461	2019	2351
462	2023	2346
463	2027	2342
464	2032	2338
465	2036	2333
466	2040	2329
467	2045	2325
468	2049	2320
469	2054	2316
470	2058	2312
471	2063	2308
472	2067	2303
473	2072	2299
474	2076	2295
475	2081	2291
476	2085	2286
477	2089	2282
478	2094	2278
479	2098	2273
480	2103	2269
481	2107	2265
482	2112	2261
483	2117	2257
484	2121	2252
485	2125	2248
486	2130	2244
487	2134	2239
488	2139	2235
489	2143	2231
490	2147	2226
491	2152	2222
492	2156	2218
493	2161	2214
494	2166	2210
495	2170	2205
496	2174	2201
497	2179	2196
498	2183	2192
499	2188	2188
500	2193	2184
501	2197	2180
502	2202	2176
503	2206	2171
504	2212	2168
505	2217	2164
506	2221	2160
507	2226	2155
508	2230	2151
509	2234	2146
510	2238	2142
511	2243	2138
512	2247	2134
513	2252	2129
514	2257	2125
515	2261	2121
516	2266	2117
517	2270	2112
518	2274	2108
519	2279	2104
520	2283	2099
521	2288	2095
522	2292	2090
523	2296	2086
524	2300	2081
525	2305	2077
526	2309	2072
527	2313	2068
528	2317	2063
529	2322	2059
530	2326	2054
531	2331	2050
532	2335	2046
533	2340	2042
534	2344	2037
535	2348	2032
536	2352	2028
537	2357	2024
538	2361	2020
539	2366	2015
540	2370	2011
541	2374	2006
542	2379	2002
543	2383	1998
544	2388	1993
545	2392	1989
546	2397	1985
547	2401	1981
548	2406	1976
549	2410	1972
550	2416	1968
551	2420	1964
552	2425	1960
553	2429	1956
554	2434	1951
555	2439	1947
556	2443	1943
557	2447	1939
558	2452	1935
559	2457	1930
560	2461	1926
561	2466	1921
562	2470	1917
563	2474	1913
564	2479	1909
565	2483	1904
566	2488	1900
567	2493	1896
568	2497	1891
569	2501	1887
570	2506	1882
571	2510	1878
572	2514	1873
573	2519	1869
574	2523	1865
575	2528	1861
576	2532	1856
577	2536	1852
578	2541	1847
579	2545	1843
580	2550	1839
581	2554	1834
582	2558	1830
583	2563	1825
584	2567	1821
585	2572	1817
586	2576	1812
587	2580	1808
588	2585	1804
589	2589	1799
590	2594	1795
591	2598	1790
592	2603	1786
593	2608	1782
594	2614	1779
595	2618	1775
596	2623	1770
597	2628	1767
598	2632	1762
599	2637	1758
600	2641	1753
601	2645	1749
602	2650	1744
603	2654	1740
604	2658	1735
605	2663	1731
606	2668	1727
607	2672	1723
608	2676	1718
609	2681	1714
610	2685	1710
611	2690	1705
612	2694	1701
613	2698	1696
614	2703	1692
615	2707	1688
616	2712	1683
617	2716	1679
618	2721	1674
619	2725	1670
620	2729	1666
621	2734	1661
622	2738	1657
623	2743	1653
624	2747	1648
625	2752	1644
626	2756	1639
627	2761	1635
628	2765	1631
629	2769	1626
630	2774	1622
631	2778	1617
632	2783	1613
633	2787	1609
634	2792	1604
635	2796	1600
636	2801	1596
637	2805	1592
638	2810	1587
639	2815	1583
640	2820	1579
641	2824	1574
642	2828	1570
643	2833	1566
644	2837	1561
645	2841	1557
646	2846	1552
647	2850	1548
648	2854	1543
649	2858	1539
650	2863	1535
651	2868	1530
652	2872	1526
653	2877	1522
654	2881	1517
655	2885	1513
656	2890	1508
657	2894	1504
658	2898	1499
659	2902	1495
660	2907	1491
661	2911	1486
662	2916	1482
663	2920	1478
664	2925	1473
665	2930	1469
666	2934	1465
667	2938	1460
668	2943	1456
669	2948	1452
670	2952	1447
671	2957	1443
672	2961	1439
673	2966	1434
674	2970	1430
675	2974	1425
676	2979	1421
677	2984	1417
678	2988	1412
679	2993	1408
680	2997	1404
681	3001	1399
682	3006	1395
683	3011	1391
684	3016	1387
685	3021	1382
686	3025	1378
687	3029	1374
688	3034	1369
689	3038	1365
690	3042	1360
691	3047	1356
692	3051	1351
693	3055	1347
694	3060	1343
695	3064	1338
696	3069	1334
697	3073	1329
698	3077	1325
699	3082	1320
700	3086	1316
701	3090	1312
702	3095	1307
703	3099	1303
704	3104	1299
705	3109	1294
706	3113	1290
707	3118	1286
708	3122	1281
709	3127	1277
710	3131	1272
711	3135	1268
712	3139	1263
713	3143	1259
714	3148	1254
715	3152	1250
716	3156	1245
717	3161	1241
718	3165	1237
719	3169	1232
720	3174	1228
721	3179	1224
722	3183	1219
723	3188	1215
724	3192	1210
725	3196	1206
726	3201	1202
727	3206	1197
728	3210	1193
729	3215	1189
730	3220	1185
731	3224	1180
732	3228	1176
733	3233	1171
734	3237	1167
735	3242	1162
736	3246	1158
737	3250	1153
738	3254	1149
739	3258	1145
740	3263	1140
741	3267	1136
742	3271	1131
743	3276	1127
744	3280	1122
745	3284	1118
746	3289	1114
747	3293	1109
748	3297	1105
749	3302	1100
750	3307	1096
751	3311	1092
752	3316	1087
753	3320	1083
754	3325	1079
755	3329	1074
756	3334	1070
757	3339	1066
758	3343	1061
759	3348	1057
760	3352	1053
761	3357	1048
762	3361	1044
763	3365	1039
764	3370	1035
765	3374	1030
766	3378	1026
767	3382	1021
768	3386	1017
769	3391	1013
770	3396	1008
771	3401	1004
772	3406	1000
773	3411	996
774	3416	991
775	3420	987
776	3425	983
777	3429	978
778	3433	974
779	3438	969
780	3442	965
781	3446	960
782	3451	956
783	3455	952
784	3460	947
785	3464	943
786	3469	938
787	3473	934
788	3478	930
789	3482	925
790	3486	921
791	3491	916
792	3495	912
793	3500	908
794	3504	903
795	3508	899
796	3512	894
797	3517	890
798	3521	885
799	3525	881
800	3530	877
801	3534	872
802	3538	868
803	3542	863
804	3547	859
805	3551	854
806	3556	850
807	3560	845
808	3564	841
809	3568	837
810	3573	832
811	3577	828
812	3582	824
813	3587	819
814	3592	815
815	3596	811
816	3601	806
817	3605	802
818	3610	798
819	3615	793
820	3620	789
821	3624	784
822	3629	780
823	3633	776
824	3638	771
825	3643	767
826	3647	763
827	3652	758
828	3656	754
829	3660	749
830	3665	745
831	3669	740
832	3674	736
833	3678	732
834	3682	727
835	3687	723
836	3691	718
837	3696	714
838	3701	710
839	3705	705
840	3709	701
841	3713	696
842	3718	692
843	3722	688
844	3727	683
845	3731	679
846	3736	674
847	3740	670
848	3744	666
849	3748	661
850	3752	657
851	3757	652
852	3762	648
853	3766	643
854	3771	639
855	3775	635
856	3780	630
857	3784	626
858	3789	621
859	3793	617
860	3798	613
861	3802	608
862	3807	604
863	3812	600
864	3817	595
865	3822	591
866	3826	586
867	3830	582
868	3835	578
869	3839	573
870	3843	569
871	3848	564
872	3852	560
873	3856	556
874	3861	551
875	3865	547
876	3870	542
877	3874	538
878	3878	533
879	3883	529
880	3887	525
881	3892	520
882	3896	516
883	3900	511
884	3904	507
885	3908	502
886	3913	498
887	3917	494
888	3923	489
889	3927	485
890	3931	480
891	3936	476
892	3940	472
893	3945	467
894	3949	463
895	3954	459
896	3959	454
897	3964	450
898	3968	445
899	3973	441
900	3978	437
901	3982	432
902	3987	428
903	3991	423
904	3996	419
905	4000	415
906	4005	410
907	4010	406
908	4014	401
909	4020	397
910	4024	393
911	4029	388
912	4033	384
913	4038	379
914	4042	375
915	4046	371
916	4051	366
917	4055	362
918	4060	357
919	4064	353
920	4068	348
921	4072	344
922	4077	340
923	4081	335
924	4086	331
925	4090	326
926	4094	322
927	4098	317
928	4103	313
929	4107	309
930	4111	304
931	4116	300
932	4120	295
933	4125	291
934	4129	287
935	4133	282
936	4138	278
937	4142	273
938	4147	269
939	4151	265
940	4156	260
941	4160	256
942	4164	251
943	4169	247
944	4174	242
945	4178	238
946	4182	234
947	4187	229
948	4191	225
949	4196	220
950	4200	216
951	4204	212
952	4209	207
953	4213	203
954	4218	198
955	4222	194
956	4227	189
957	4231	185
958	4236	181
959	4240	176
960	4244	172
961	4249	167
962	4253	163
963	4257	159
964	4261	154
965	4266	150
966	4271	145
967	4276	141
968	4280	136
969	4284	132
970	4289	128
971	4293	123
972	4297	119
973	4302	114
974	4306	110
975	4310	106
976	4315	101
977	4319	97
978	4324	92
979	4328	88
980	4332	83
981	4336	79
982	4341	75
983	4345	70
984	4350	66
985	4354	61
986	4358	57
987	4362	52
988	4367	48
989	4371	44
990	4375	39
991	4379	35
992	4384	30
993	4388	26
994	4393	22
995	4397	17
996	4402	13
997	4406	8
998	4410	4
999	4416	0
