iter	RMSE
120	0.6128613807
121	0.6128190378
122	0.6127848999
123	0.6127560367
124	0.612704453
125	0.6126389523
126	0.6126073208
127	0.6125811032
128	0.6125470385
129	0.6125075176
130	0.612469609
131	0.6124192746
132	0.6123795944
133	0.6123541862
134	0.612317634
135	0.612284145
136	0.6122557442
137	0.6122086804
138	0.6121816875
139	0.6121269802
140	0.6120954095
141	0.6120517351
142	0.6120067643
143	0.6119662161
144	0.6119164405
145	0.6118785083
146	0.611831973
147	0.6117966259
148	0.6117670834
149	0.6117208783
150	0.6116855269
151	0.6116402397
152	0.6115986051
153	0.6115638182
154	0.6115133542
155	0.6114886077
156	0.6114380587
157	0.6113923544
158	0.6113579826
159	0.6113194993
160	0.6112830311
161	0.6112546691
162	0.611216686
163	0.6111722443
164	0.6111239578
165	0.6110986221
166	0.6110721984
167	0.611023537
168	0.6109761503
169	0.6109420353
170	0.6109205794
171	0.6108831832
172	0.6108342888
173	0.6107977442
174	0.610756749
175	0.6107186265
176	0.610688711
177	0.6106648327
178	0.610627242
179	0.6105890348
180	0.6105540172
181	0.6105257657
182	0.6104893748
183	0.6104508587
184	0.6104139356
185	0.6103704714
186	0.6103191858
187	0.6102772689
188	0.6102546602
189	0.6102227286
190	0.6101926466
191	0.6101573122
192	0.6101121056
193	0.6100603722
194	0.6100187844
195	0.6099866094
196	0.6099582054
197	0.6099020689
198	0.6098582254
199	0.6098435237
200	0.6098171366
201	0.6097785276
202	0.609740568
203	0.6097132228
204	0.609675878
205	0.6096498189
206	0.6096203171
207	0.6095788326
208	0.6095396125
209	0.609516146
210	0.6094829583
211	0.6094551709
212	0.6094270409
213	0.6093922099
214	0.6093560574
215	0.6093308658
216	0.6092902299
217	0.6092699989
218	0.609240885
219	0.6092183477
220	0.6091872378
221	0.609151951
222	0.6091212549
223	0.6090759746
224	0.6090407336
225	0.6090105149
226	0.6089853005
227	0.6089621557
228	0.6089351567
229	0.6088979899
230	0.6088650765
231	0.6088311573
232	0.6087946686
233	0.6087691299
234	0.6087359415
235	0.6087119831
236	0.6086906861
237	0.6086554839
238	0.6086352994
239	0.6085942731
240	0.6085709442
241	0.6085305373
242	0.6084935119
243	0.6084675439
244	0.6084254431
245	0.6083979054
246	0.6083720331
247	0.6083401479
248	0.6083082682
249	0.6082797998
250	0.608258499
251	0.6082295218
252	0.6081859419
253	0.6081316617
254	0.6080948535
255	0.6080598614
256	0.6080344484
257	0.6080066368
258	0.6079750219
259	0.6079458991
260	0.6079056385
261	0.6078674833
262	0.607837993
263	0.6078091568
264	0.6077700023
265	0.6077331366
266	0.6077038124
267	0.607676903
268	0.6076510381
269	0.607626111
270	0.6075921713
271	0.6075568384
272	0.6075164571
273	0.6074711882
274	0.6074498005
275	0.607423774
276	0.6073781299
277	0.607345969
278	0.6073257272
279	0.6072942077
280	0.6072815073
281	0.6072590119
282	0.6072142131
283	0.607192819
284	0.6071500785
285	0.6071168099
286	0.6070922622
287	0.6070707054
288	0.607049751
289	0.6070241052
290	0.6070039269
291	0.6069741264
292	0.6069377483
293	0.606911733
294	0.6068959613
295	0.6068785701
296	0.6068545078
297	0.6068191564
298	0.6067847669
299	0.6067596582
300	0.6067105493
301	0.6066712173
302	0.6066372905
303	0.606588918
304	0.6065609969
305	0.6065348801
306	0.6065075525
307	0.6064719902
308	0.6064470406
309	0.6064173019
310	0.6063924053
311	0.6063460244
312	0.6063121781
313	0.6062911426
314	0.6062504375
315	0.6062384637
316	0.6062102217
317	0.6061857085
318	0.6061536448
319	0.6061111663
320	0.606089991
321	0.6060709492
322	0.6060345603
323	0.6060140393
324	0.6059768288
325	0.6059465683
326	0.6059269639
327	0.6059068963
328	0.6058851673
329	0.6058586021
330	0.6058326343
331	0.6058034707
332	0.6057801332
333	0.6057549192
334	0.6057118322
335	0.6056876424
336	0.6056776223
337	0.6056423456
338	0.6056164589
339	0.6055934736
340	0.6055725983
341	0.6055452883
342	0.6055164667
343	0.6054962413
344	0.60546758
345	0.6054442199
346	0.6054244807
347	0.6054038889
348	0.605366544
349	0.60533843
350	0.6052972653
351	0.6052619277
352	0.6052438867
353	0.6052221358
354	0.6052070671
355	0.6051694033
356	0.6051511217
357	0.6051340672
358	0.6050994821
359	0.6050739761
360	0.6050489435
361	0.6050155023
362	0.6049965274
363	0.6049656773
364	0.6049312702
365	0.6049122494
366	0.6049070054
367	0.6048867627
368	0.6048564577
369	0.6048301149
370	0.6048151256
371	0.6047974042
372	0.6047678472
373	0.6047486795
374	0.604731154
375	0.6047075186
376	0.604680262
377	0.6046575528
378	0.6046292692
379	0.6046097359
380	0.604592902
381	0.6045729197
382	0.6045551252
383	0.6045473236
384	0.6045412841
385	0.6045113077
386	0.6044879674
387	0.604462548
388	0.6044318318
389	0.604399565
390	0.6043674281
391	0.6043538612
392	0.6043201424
393	0.6042951413
394	0.6042730415
395	0.6042313618
396	0.6042098004
397	0.6042010556
398	0.6041929858
399	0.6041747794
400	0.6041510456
401	0.604133976
402	0.604120116
403	0.6040996557
404	0.6040656999
405	0.6040456385
406	0.6040120876
407	0.6039738678
408	0.6039576578
409	0.6039263357
410	0.6039089265
411	0.6038847048
412	0.6038772611
413	0.603857263
414	0.6038515522
415	0.6038309325
416	0.6037983325
417	0.603758469
418	0.6037384772
419	0.6037123694
420	0.6036820291
421	0.6036675908
422	0.6036524841
423	0.6036067815
424	0.6035814784
425	0.6035522007
426	0.6035270054
427	0.6035177739
428	0.6035004504
429	0.6034696446
430	0.6034495139
431	0.6034336903
432	0.6034113177
433	0.6033989034
434	0.6033702694
435	0.6033433438
436	0.6033212335
437	0.6032868352
438	0.6032721385
439	0.6032418393
440	0.603225484
441	0.6031887752
442	0.6031477798
443	0.6031333286
444	0.603104344
445	0.6030790072
446	0.6030442078
447	0.6030281586
448	0.6030081795
449	0.6029858065
450	0.6029702677
451	0.6029464144
452	0.6029268876
453	0.6028956149
454	0.6028818007
455	0.6028526632
456	0.6028401163
457	0.6028159097
458	0.6027928782
459	0.602774803
460	0.6027475456
461	0.6027306711
462	0.6027126885
463	0.6026891541
464	0.602676966
465	0.6026494953
466	0.6026156573
467	0.6025916757
468	0.6025615916
469	0.602545893
470	0.6025191302
471	0.6024902212
472	0.6024596871
473	0.6024189407
474	0.6024000944
475	0.6023759364
476	0.602356317
477	0.6023428578
478	0.6023114776
479	0.6022909553
480	0.6022784235
481	0.6022609546
482	0.6022336558
483	0.6022002885
484	0.6021707549
485	0.6021540656
486	0.6021333931
487	0.6021127257
488	0.6020805438
489	0.60206195
490	0.6020428537
491	0.6020288638
492	0.6019977726
493	0.6019867267
494	0.6019685357
495	0.601958349
496	0.6019276945
497	0.6018987078
498	0.6018807909
499	0.6018462725
500	0.6018167243
501	0.6018017738
502	0.6017817854
503	0.6017550267
504	0.6017282451
505	0.6017073704
506	0.6016924967
507	0.6016708428
508	0.6016574945
509	0.601644259
510	0.6016258958
511	0.601619275
512	0.6016004479
513	0.6015766429
514	0.6015383344
515	0.6015281072
516	0.6014999368
517	0.6014672899
518	0.6014530099
519	0.6014276754
520	0.6014167593
521	0.6013916978
522	0.6013737943
523	0.601364044
524	0.6013454628
525	0.601325067
526	0.6012940983
527	0.6012740187
528	0.601263422
529	0.6012505274
530	0.6012411441
531	0.6012028066
532	0.601190148
533	0.6011690374
534	0.6011605823
535	0.6011497831
536	0.6011240477
537	0.6010961419
538	0.6010677021
539	0.6010572794
540	0.6010333292
541	0.6010170468
542	0.6009895101
543	0.600971721
544	0.6009638745
545	0.6009383471
546	0.6009215505
547	0.6008926033
548	0.6008753706
549	0.6008432541
550	0.6008214175
551	0.6008018364
552	0.6007781689
553	0.6007626951
554	0.6007521617
555	0.6007390242
556	0.6007217953
557	0.6007080268
558	0.6006752517
559	0.6006514571
560	0.6006395368
561	0.6006175409
562	0.6005961787
563	0.6005874276
564	0.6005664574
565	0.6005453626
566	0.6005358584
567	0.6005050328
568	0.6004838018
569	0.6004728444
570	0.6004619856
571	0.6004503418
572	0.6004360684
573	0.6004050314
574	0.6003798042
575	0.6003676609
576	0.6003513497
577	0.6003280828
578	0.600310457
579	0.6002915488
580	0.6002813528
581	0.6002617896
582	0.6002396757
583	0.6002177723
584	0.6002005339
585	0.6001787478
586	0.6001650594
587	0.6001457572
588	0.6001307903
589	0.6001036406
590	0.600077019
591	0.600060609
592	0.6000373884
593	0.6000201956
594	0.6000020151
595	0.5999758143
596	0.5999562898
597	0.5999318244
598	0.5999230391
599	0.5999118168
600	0.599897315
601	0.5998885937
602	0.5998817645
603	0.5998539114
604	0.5998468392
605	0.5998385004
606	0.5998183821
607	0.5997899271
608	0.599778631
609	0.5997623982
610	0.5997501285
611	0.5997346922
612	0.5997158258
613	0.5996962125
614	0.599674796
615	0.5996476878
616	0.599621215
617	0.5996045836
618	0.5995849182
619	0.5995687007
620	0.5995550232
621	0.5995429064
622	0.599530311
623	0.5994978543
624	0.599476834
625	0.5994639951
626	0.5994312352
627	0.5993999694
628	0.5993892276
629	0.5993694966
630	0.5993340868
631	0.5993250025
632	0.5993081724
633	0.599282875
634	0.5992636683
635	0.5992354476
636	0.5992218587
637	0.5992149007
638	0.5991980313
639	0.5991748389
640	0.5991650366
641	0.5991429913
642	0.5991244112
643	0.5991107784
644	0.5990959325
645	0.5990825186
646	0.5990534597
647	0.5990363882
648	0.5990170044
649	0.5989985135
650	0.5989858609
651	0.5989620736
652	0.598942764
653	0.5989314783
654	0.5989048536
655	0.5988900701
656	0.5988681211
657	0.5988573484
658	0.5988487955
659	0.5988320445
660	0.5988002933
661	0.5987757114
662	0.5987560122
663	0.5987346965
664	0.5987076598
665	0.5986816435
666	0.598660626
667	0.598632843
668	0.5986029822
669	0.5985702549
670	0.5985450395
671	0.5985262826
672	0.5984961449
673	0.5984819663
674	0.5984717818
675	0.5984505741
676	0.5984412232
677	0.5984357232
678	0.5984197773
679	0.5984025118
680	0.5983957454
681	0.5983795348
682	0.5983640395
683	0.5983494155
684	0.5983227214
685	0.5982917899
686	0.5982758077
687	0.5982537962
688	0.5982225634
689	0.5981888306
690	0.5981660645
691	0.5981468152
692	0.598120839
693	0.5981020809
694	0.5980746398
695	0.5980660964
696	0.5980467391
697	0.5980357251
698	0.5980216669
699	0.5980007225
700	0.597993583
701	0.5979761591
702	0.5979592547
703	0.5979454209
704	0.5979322595
705	0.5979239145
706	0.5979086052
707	0.5978884062
708	0.5978718767
709	0.597838147
710	0.5978108793
711	0.5978069456
712	0.5977936908
713	0.5977724527
714	0.5977558607
715	0.5977480819
716	0.5977260968
717	0.5976986913
718	0.5976894548
719	0.5976615953
720	0.5976413193
721	0.5976240852
722	0.5976125625
723	0.5975978698
724	0.5975872736
725	0.5975708925
726	0.5975507907
727	0.5975274451
728	0.5975111561
729	0.5974936918
730	0.5974773021
731	0.5974562695
732	0.5974427641
733	0.5974203992
734	0.5974054968
735	0.597375513
736	0.597361786
737	0.5973490023
738	0.5973370102
739	0.5973298615
740	0.5973175525
741	0.5972992389
742	0.5972768668
743	0.5972624828
744	0.5972434184
745	0.5972303301
746	0.5972185998
747	0.5971924628
748	0.5971731377
749	0.5971460649
750	0.5971313667
751	0.5971077085
752	0.5970907726
753	0.5970725686
754	0.597059681
755	0.597047848
756	0.5970362528
757	0.5970259876
758	0.5970039042
759	0.5969812289
760	0.5969745481
761	0.5969424962
762	0.5969294304
763	0.5969235543
764	0.5969138907
765	0.5969042
766	0.5968847167
767	0.5968652352
768	0.5968484116
769	0.5968285257
770	0.5968000211
771	0.5967842526
772	0.5967818352
773	0.5967721234
774	0.5967492607
775	0.596734126
776	0.5967236511
777	0.5967180831
778	0.5967060051
779	0.5966847986
780	0.5966712317
781	0.5966596288
782	0.5966287282
783	0.5966206063
784	0.5966047905
785	0.5965808382
786	0.59656713
787	0.5965432168
788	0.5965231625
789	0.5965049122
790	0.5964934306
791	0.5964791961
792	0.596451065
793	0.5964293062
794	0.5964115093
795	0.5963959181
796	0.5963700699
797	0.5963470233
798	0.59632663
799	0.5963209727
800	0.5962959649
801	0.596283987
802	0.5962785557
803	0.596263102
804	0.5962458126
805	0.5962197329
806	0.5961957185
807	0.5961811527
808	0.5961614444
809	0.5961497284
810	0.5961176504
811	0.5960925077
812	0.5960752628
813	0.5960646606
814	0.5960374876
815	0.5960090873
816	0.5959881241
817	0.5959537465
818	0.5959277492
819	0.5959188568
820	0.5959009928
821	0.5958799452
822	0.5958477203
823	0.5958365146
824	0.5958311132
825	0.5958079928
826	0.5957869979
827	0.5957721806
828	0.5957667676
829	0.5957512571
830	0.5957354773
831	0.5957263717
832	0.5957073284
833	0.595693538
834	0.5956812789
835	0.5956649041
836	0.5956517974
837	0.5956378506
838	0.5956098793
839	0.5955858309
840	0.5955735268
841	0.5955520602
842	0.5955349907
843	0.5955217598
844	0.5955098662
845	0.5955029078
846	0.5954877049
847	0.5954759819
848	0.5954700807
849	0.5954456807
850	0.5954332286
851	0.5954074017
852	0.5953877069
853	0.5953706468
854	0.5953521102
855	0.5953317474
856	0.5953139819
857	0.5952959629
858	0.5952825166
859	0.595268968
860	0.5952480566
861	0.5952275374
862	0.5952100848
863	0.5951980605
864	0.5951771334
865	0.5951658701
866	0.5951587452
867	0.5951482627
868	0.595125955
869	0.5951134295
870	0.5951024161
871	0.5950955561
872	0.5950791901
873	0.5950731007
874	0.5950564958
875	0.5950476183
876	0.5950308187
877	0.5950218748
878	0.595002681
879	0.5949754871
880	0.5949503664
881	0.5949412117
882	0.5949316146
883	0.5949200987
884	0.5949021101
885	0.5948898489
886	0.5948662875
887	0.5948548446
888	0.5948387339
889	0.5948246749
890	0.5948013794
891	0.5947840749
892	0.5947654246
893	0.5947482673
894	0.5947333627
895	0.5947155753
896	0.5947061339
897	0.5946918978
898	0.5946744759
899	0.5946618902
900	0.5946509823
901	0.5946397573
902	0.5946343883
903	0.5946281735
904	0.5946144319
905	0.5946092166
906	0.5945892629
907	0.5945819871
908	0.5945654726
909	0.5945601019
910	0.5945565981
911	0.5945520116
912	0.5945301995
913	0.5945214301
914	0.5945038821
915	0.5945020615
916	0.59448338
917	0.5944800584
918	0.5944687561
919	0.5944523388
920	0.5944380649
921	0.5944183239
922	0.5944008371
923	0.5943875244
924	0.5943739081
925	0.5943613147
926	0.5943478638
927	0.5943447682
928	0.5943314199
929	0.5943138884
930	0.594296183
931	0.5942868895
932	0.5942583032
933	0.5942320507
934	0.5942074137
935	0.5941849814
936	0.5941724956
937	0.5941537347
938	0.5941426045
939	0.5941291049
940	0.5941138051
941	0.5940947447
942	0.5940798107
943	0.5940614474
944	0.5940538921
945	0.5940484175
946	0.5940269266
947	0.5940123185
948	0.5940001663
949	0.5939908552
950	0.5939800562
951	0.593961075
952	0.5939470836
953	0.5939220422
954	0.5939118605
955	0.5938952245
956	0.59387919
957	0.593860146
958	0.5938455783
959	0.5938281685
960	0.5938158776
961	0.5937928443
962	0.5937732431
963	0.5937693915
964	0.5937560967
965	0.5937406836
966	0.593718824
967	0.5936935738
968	0.5936899624
969	0.5936791282
970	0.5936710902
971	0.593655437
972	0.593640491
973	0.5936184138
974	0.5936020775
975	0.5935846473
976	0.5935711542
977	0.5935602002
978	0.5935504193
979	0.5935387579
980	0.5935272795
981	0.5935059412
982	0.5935011575
983	0.5934897664
984	0.593479302
985	0.5934685781
986	0.5934495865
987	0.5934353419
988	0.593429993
989	0.5934212721
990	0.5934052479
991	0.5933939312
992	0.5933655691
993	0.593352964
994	0.5933474838
995	0.5933441237
996	0.5933390783
997	0.5933288452
998	0.5933165119
999	0.5932959163
